date,amount,category,merchant,description,type,currency,balance
2024-01-01,-1037.19,Healthcare,Local Clinic,Healthcare at Local Clinic,debit,INR,-1037.19
2024-01-01,-574.15,Transport,Delhi Metro,Transport at Delhi Metro,debit,INR,-1611.3400000000001
2024-01-02,-356.48,Groceries,Local Kirana,Groceries at Local Kirana,debit,INR,-1967.8200000000002
2024-01-02,-1990.26,Other,Online Payment,Other at Online Payment,debit,INR,-3958.08
2024-01-02,-841.21,Transport,Auto Rickshaw,Transport at Auto Rickshaw,debit,INR,-4799.29
2024-01-03,-1843.87,Other,UPI Transfer,Other at UPI Transfer,debit,INR,-6643.16
2024-01-04,-140.54,Transport,Uber,Transport at Uber,debit,INR,-6783.7
2024-01-04,-842.57,Entertainment,Amazon Prime,Entertainment at Amazon Prime,debit,INR,-7626.2699999999995
2024-01-05,-1027.16,Healthcare,Hospital,Healthcare at Hospital,debit,INR,-8653.43
2024-01-06,-1081.9,Groceries,DMart,Groceries at DMart,debit,INR,-9735.33
2024-01-07,-3570.93,Shopping,Flipkart,Shopping at Flipkart,debit,INR,-13306.26
2024-01-08,-207.56,Dining Out,Domino's,Dining Out at Domino's,debit,INR,-13513.82
2024-01-08,-1264.72,Shopping,Amazon India,Shopping at Amazon India,debit,INR,-14778.539999999999
2024-01-08,-20.03,Transport,Indian Oil,Transport at Indian Oil,debit,INR,-14798.57
2024-01-08,-500.43,Utilities,Airtel,Utilities at Airtel,debit,INR,-15299.0
2024-01-09,-1868.55,Other,Miscellaneous,Other at Miscellaneous,debit,INR,-17167.55
2024-01-09,-1022.18,Groceries,Big Bazaar,Groceries at Big Bazaar,debit,INR,-18189.73
2024-01-10,-2192.53,Groceries,DMart,Groceries at DMart,debit,INR,-20382.26
2024-01-11,-2062.72,Groceries,Local Kirana,Groceries at Local Kirana,debit,INR,-22444.98
2024-01-12,-1107.6,Utilities,Airtel,Utilities at Airtel,debit,INR,-23552.579999999998
2024-01-12,-1305.92,Utilities,BWSSB,Utilities at BWSSB,debit,INR,-24858.5
2024-01-12,-273.27,Transport,Delhi Metro,Transport at Delhi Metro,debit,INR,-25131.77
2024-01-13,-102.49,Other,UPI Transfer,Other at UPI Transfer,debit,INR,-25234.260000000002
2024-01-15,-416.07,Transport,Uber,Transport at Uber,debit,INR,-25650.33
2024-01-16,-635.79,Transport,HP Petrol,Transport at HP Petrol,debit,INR,-26286.120000000003
2024-01-17,-537.18,Transport,Ola,Transport at Ola,debit,INR,-26823.300000000003
2024-01-18,-2825.43,Shopping,Medical Store,Shopping at Medical Store,debit,INR,-29648.730000000003
2024-01-19,-323.42,Utilities,Airtel,Utilities at Airtel,debit,INR,-29972.15
2024-01-20,-466.28,Other,UPI Transfer,Other at UPI Transfer,debit,INR,-30438.43
2024-01-21,-1270.85,Utilities,DTH Recharge,Utilities at DTH Recharge,debit,INR,-31709.28
2024-01-21,-627.12,Groceries,Local Kirana,Groceries at Local Kirana,debit,INR,-32336.399999999998
2024-01-22,-1482.93,Other,Online Payment,Other at Online Payment,debit,INR,-33819.329999999994
2024-01-23,-612.88,Shopping,Medical Store,Shopping at Medical Store,debit,INR,-34432.20999999999
2024-01-24,-1318.2,Groceries,Reliance Fresh,Groceries at Reliance Fresh,debit,INR,-35750.40999999999
2024-01-25,-2269.48,Groceries,Big Bazaar,Groceries at Big Bazaar,debit,INR,-38019.88999999999
2024-01-26,-357.5,Groceries,More Supermarket,Groceries at More Supermarket,debit,INR,-38377.38999999999
2024-01-26,-2338.73,Groceries,Reliance Fresh,Groceries at Reliance Fresh,debit,INR,-40716.119999999995
2024-01-26,-363.21,Utilities,Gas Agency,Utilities at Gas Agency,debit,INR,-41079.329999999994
2024-01-26,-700.58,Shopping,Local Mall,Shopping at Local Mall,debit,INR,-41779.909999999996
2024-01-27,-1415.65,Shopping,Amazon India,Shopping at Amazon India,debit,INR,-43195.56
2024-01-27,-1302.89,Shopping,Brand Factory,Shopping at Brand Factory,debit,INR,-44498.45
2024-01-27,-458.8,Healthcare,Medical Tests,Healthcare at Medical Tests,debit,INR,-44957.25
2024-01-28,-145.35,Dining Out,CCD,Dining Out at CCD,debit,INR,-45102.6
2024-01-28,-567.69,Dining Out,McDonald's India,Dining Out at McDonald's India,debit,INR,-45670.29
2024-01-28,-2037.0,Utilities,Gas Agency,Utilities at Gas Agency,debit,INR,-47707.29
2024-01-29,-707.09,Entertainment,Gym,Entertainment at Gym,debit,INR,-48414.38
2024-01-30,-1752.31,Shopping,Medical Store,Shopping at Medical Store,debit,INR,-50166.689999999995
2024-01-30,-194.74,Transport,BMTC,Transport at BMTC,debit,INR,-50361.42999999999
2024-01-30,-456.61,Other,Miscellaneous,Other at Miscellaneous,debit,INR,-50818.03999999999
2024-01-30,-457.44,Dining Out,KFC,Dining Out at KFC,debit,INR,-51275.479999999996
2024-01-31,-1515.46,Groceries,Spencer's,Groceries at Spencer's,debit,INR,-52790.939999999995
2024-01-31,25224.45,Income,Tech Company,Monthly Salary,credit,INR,-27566.489999999994
2024-02-01,-590.48,Entertainment,Netflix India,Entertainment at Netflix India,debit,INR,-28156.969999999994
2024-02-01,-424.64,Groceries,Reliance Fresh,Groceries at Reliance Fresh,debit,INR,-28581.609999999993
2024-02-02,-280.03,Entertainment,Netflix India,Entertainment at Netflix India,debit,INR,-28861.639999999992
2024-02-02,-1896.29,Groceries,Reliance Fresh,Groceries at Reliance Fresh,debit,INR,-30757.929999999993
2024-02-03,-903.74,Healthcare,Medical Tests,Healthcare at Medical Tests,debit,INR,-31661.669999999995
2024-02-03,-1672.52,Other,UPI Transfer,Other at UPI Transfer,debit,INR,-33334.189999999995
2024-02-03,-1547.33,Groceries,Big Bazaar,Groceries at Big Bazaar,debit,INR,-34881.52
2024-02-04,-1554.9,Groceries,Big Bazaar,Groceries at Big Bazaar,debit,INR,-36436.42
2024-02-04,-703.12,Entertainment,Amazon Prime,Entertainment at Amazon Prime,debit,INR,-37139.54
2024-02-05,-326.01,Transport,Delhi Metro,Transport at Delhi Metro,debit,INR,-37465.55
2024-02-08,-1115.95,Healthcare,Apollo Pharmacy,Healthcare at Apollo Pharmacy,debit,INR,-38581.5
2024-02-09,-1223.19,Utilities,Reliance Jio,Utilities at Reliance Jio,debit,INR,-39804.69
2024-02-11,-1165.23,Utilities,Airtel,Utilities at Airtel,debit,INR,-40969.920000000006
2024-02-12,-437.98,Dining Out,Local Restaurant,Dining Out at Local Restaurant,debit,INR,-41407.90000000001
2024-02-13,-776.1,Dining Out,Local Restaurant,Dining Out at Local Restaurant,debit,INR,-42184.00000000001
2024-02-13,-377.13,Entertainment,Gym,Entertainment at Gym,debit,INR,-42561.130000000005
2024-02-14,-1333.6,Groceries,Big Bazaar,Groceries at Big Bazaar,debit,INR,-43894.73
2024-02-14,-774.86,Dining Out,McDonald's India,Dining Out at McDonald's India,debit,INR,-44669.590000000004
2024-02-14,-1384.37,Groceries,More Supermarket,Groceries at More Supermarket,debit,INR,-46053.96000000001
2024-02-15,-314.52,Transport,Indian Oil,Transport at Indian Oil,debit,INR,-46368.48
2024-02-17,-1047.25,Utilities,Airtel,Utilities at Airtel,debit,INR,-47415.73
2024-02-17,-1601.51,Groceries,Spencer's,Groceries at Spencer's,debit,INR,-49017.240000000005
2024-02-17,-127.2,Dining Out,KFC,Dining Out at KFC,debit,INR,-49144.44
2024-02-18,-286.34,Transport,Delhi Metro,Transport at Delhi Metro,debit,INR,-49430.78
2024-02-19,-2768.48,Shopping,Brand Factory,Shopping at Brand Factory,debit,INR,-52199.26
2024-02-19,-961.98,Groceries,DMart,Groceries at DMart,debit,INR,-53161.240000000005
2024-02-20,-84.38,Transport,Ola,Transport at Ola,debit,INR,-53245.62
2024-02-21,-479.87,Other,Online Payment,Other at Online Payment,debit,INR,-53725.490000000005
