date,amount,category,merchant,description,type,currency,balance
2024-01-03,-49.28,Groceries,Tesco,Groceries at Tesco,debit,GBP,-49.28
2024-01-03,-38.06,Dining Out,Wagamama,Dining Out at Wagamama,debit,GBP,-87.34
2024-01-04,-49.01,Shopping,Zara,Shopping at Zara,debit,GBP,-136.35
2024-01-04,-63.84,Transport,Tesco Petrol,Transport at Tesco Petrol,debit,GBP,-200.19
2024-01-05,-68.08,Utilities,Sky,Utilities at Sky,debit,GBP,-268.27
2024-01-05,-122.94,Groceries,Lidl,Groceries at Lidl,debit,GBP,-391.21
2024-01-05,-33.0,Entertainment,Cinema,Entertainment at Cinema,debit,GBP,-424.21
2024-01-05,-101.06,Groceries,Sainsbury's,Groceries at Sainsbury's,debit,GBP,-525.27
2024-01-06,-50.57,Groceries,Sainsbury's,Groceries at Sainsbury's,debit,GBP,-575.84
2024-01-07,-72.88,Groceries,Tesco,Groceries at Tesco,debit,GBP,-648.72
2024-01-07,-78.3,Utilities,British Gas,Utilities at British Gas,debit,GBP,-727.02
2024-01-09,-83.51,Groceries,ASDA,Groceries at ASDA,debit,GBP,-810.53
2024-01-10,-12.81,Healthcare,Opticians,Healthcare at Opticians,debit,GBP,-823.3399999999999
2024-01-11,-55.86,Entertainment,Netflix,Entertainment at Netflix,debit,GBP,-879.1999999999999
2024-01-12,-157.04,Shopping,John Lewis,Shopping at John Lewis,debit,GBP,-1036.24
2024-01-12,-29.38,Other,Bank Transfer,Other at Bank Transfer,debit,GBP,-1065.6200000000001
2024-01-13,-137.28,Utilities,EDF Energy,Utilities at EDF Energy,debit,GBP,-1202.9
2024-01-13,-123.85,Utilities,EDF Energy,Utilities at EDF Energy,debit,GBP,-1326.75
2024-01-13,-48.17,Shopping,John Lewis,Shopping at John Lewis,debit,GBP,-1374.92
2024-01-14,-46.57,Shopping,Zara,Shopping at Zara,debit,GBP,-1421.49
2024-01-14,-69.56,Transport,BP,Transport at BP,debit,GBP,-1491.05
2024-01-14,-32.69,Healthcare,Dentist,Healthcare at Dentist,debit,GBP,-1523.74
2024-01-14,-51.3,Shopping,H&M,Shopping at H&M,debit,GBP,-1575.04
2024-01-15,-21.54,Groceries,Morrisons,Groceries at Morrisons,debit,GBP,-1596.58
2024-01-16,-63.16,Groceries,Aldi,Groceries at Aldi,debit,GBP,-1659.74
2024-01-16,-25.17,Dining Out,Pizza Express,Dining Out at Pizza Express,debit,GBP,-1684.91
2024-01-17,-61.18,Entertainment,Cinema,Entertainment at Cinema,debit,GBP,-1746.0900000000001
2024-01-17,-17.52,Transport,Tesco Petrol,Transport at Tesco Petrol,debit,GBP,-1763.6100000000001
2024-01-18,-35.64,Dining Out,Nando's,Dining Out at Nando's,debit,GBP,-1799.2500000000002
2024-01-18,-43.51,Transport,First Bus,Transport at First Bus,debit,GBP,-1842.7600000000002
