date,amount,category,merchant,description,type,currency,balance
2024-01-01,5277.23,Income,Company Ltd,Monthly Salary,credit,GBP,5277.23
2024-01-01,-118.46,Shopping,M&S,Shopping at M&S,debit,GBP,5158.7699999999995
2024-01-02,-176.71,Shopping,Amazon UK,Shopping at Amazon UK,debit,GBP,4982.0599999999995
2024-01-03,-35.67,Entertainment,Amazon Prime,Entertainment at Amazon Prime,debit,GBP,4946.389999999999
2024-01-03,-140.28,Shopping,Amazon UK,Shopping at Amazon UK,debit,GBP,4806.11
2024-01-03,-14.18,Transport,Shell,Transport at Shell,debit,GBP,4791.929999999999
2024-01-04,-105.21,Groceries,Sainsbury's,Groceries at Sainsbury's,debit,GBP,4686.719999999999
2024-01-05,-94.9,Shopping,John Lewis,Shopping at John Lewis,debit,GBP,4591.82
2024-01-06,-39.62,Groceries,Tesco,Groceries at Tesco,debit,GBP,4552.2
2024-01-07,-73.34,Groceries,Aldi,Groceries at Aldi,debit,GBP,4478.86
2024-01-07,-57.94,Entertainment,Football Tickets,Entertainment at Football Tickets,debit,GBP,4420.92
2024-01-08,-51.41,Groceries,Tesco,Groceries at Tesco,debit,GBP,4369.51
2024-01-09,-11.58,Entertainment,Football Tickets,Entertainment at Football Tickets,debit,GBP,4357.93
2024-01-09,-190.05,Shopping,H&M,Shopping at H&M,debit,GBP,4167.88
2024-01-10,-15.47,Dining Out,McDonald's,Dining Out at McDonald's,debit,GBP,4152.41
2024-01-10,-25.64,Groceries,ASDA,Groceries at ASDA,debit,GBP,4126.7699999999995
2024-01-11,-78.41,Groceries,Morrisons,Groceries at Morrisons,debit,GBP,4048.3599999999997
2024-01-12,-9.34,Dining Out,Wagamama,Dining Out at Wagamama,debit,GBP,4039.0199999999995
2024-01-13,-89.3,Groceries,Lidl,Groceries at Lidl,debit,GBP,3949.7199999999993
2024-01-13,-26.39,Other,Online Purchase,Other at Online Purchase,debit,GBP,3923.3299999999995
2024-01-13,-36.07,Groceries,Aldi,Groceries at Aldi,debit,GBP,3887.2599999999993
2024-01-14,-102.17,Groceries,Sainsbury's,Groceries at Sainsbury's,debit,GBP,3785.0899999999992
2024-01-14,-26.72,Dining Out,Pizza Express,Dining Out at Pizza Express,debit,GBP,3758.3699999999994
2024-01-15,-37.67,Entertainment,Cinema,Entertainment at Cinema,debit,GBP,3720.6999999999994
2024-01-16,-12.97,Dining Out,Starbucks,Dining Out at Starbucks,debit,GBP,3707.7299999999996
2024-01-17,-46.61,Other,Online Purchase,Other at Online Purchase,debit,GBP,3661.1199999999994
2024-01-18,-4.23,Transport,Tesco Petrol,Transport at Tesco Petrol,debit,GBP,3656.8899999999994
2024-01-18,-138.07,Utilities,Thames Water,Utilities at Thames Water,debit,GBP,3518.8199999999993
2024-01-19,-7.45,Dining Out,Starbucks,Dining Out at Starbucks,debit,GBP,3511.3699999999994
2024-01-19,-64.87,Groceries,Lidl,Groceries at Lidl,debit,GBP,3446.4999999999995
2024-01-20,-89.19,Utilities,BT,Utilities at BT,debit,GBP,3357.3099999999995
2024-01-20,-61.07,Transport,Tesco Petrol,Transport at Tesco Petrol,debit,GBP,3296.2399999999993
2024-01-21,-65.05,Groceries,Morrisons,Groceries at Morrisons,debit,GBP,3231.189999999999
2024-01-22,-88.68,Shopping,Amazon UK,Shopping at Amazon UK,debit,GBP,3142.5099999999993
2024-01-22,-161.22,Shopping,Amazon UK,Shopping at Amazon UK,debit,GBP,2981.2899999999995
2024-01-23,-19.57,Transport,First Bus,Transport at First Bus,debit,GBP,2961.7199999999993
2024-01-23,-135.21,Shopping,H&M,Shopping at H&M,debit,GBP,2826.5099999999993
2024-01-23,-13.71,Transport,TfL,Transport at TfL,debit,GBP,2812.7999999999993
2024-01-24,-61.45,Entertainment,Netflix,Entertainment at Netflix,debit,GBP,2751.3499999999995
2024-01-25,-117.3,Groceries,Morrisons,Groceries at Morrisons,debit,GBP,2634.0499999999993
2024-01-26,-102.43,Groceries,Morrisons,Groceries at Morrisons,debit,GBP,2531.6199999999994
2024-01-26,-79.1,Groceries,Tesco,Groceries at Tesco,debit,GBP,2452.5199999999995
2024-01-26,-15.72,Entertainment,Cinema,Entertainment at Cinema,debit,GBP,2436.7999999999997
2024-01-26,-85.97,Groceries,Aldi,Groceries at Aldi,debit,GBP,2350.83
2024-01-27,-145.39,Shopping,Boots,Shopping at Boots,debit,GBP,2205.44
2024-01-28,-52.38,Healthcare,Pharmacy,Healthcare at Pharmacy,debit,GBP,2153.06
2024-01-28,-51.59,Groceries,ASDA,Groceries at ASDA,debit,GBP,2101.47
2024-01-29,-69.95,Shopping,Next,Shopping at Next,debit,GBP,2031.5199999999998
2024-01-31,-91.23,Groceries,Iceland,Groceries at Iceland,debit,GBP,1940.2899999999997
2024-01-31,-79.72,Other,Bank Transfer,Other at Bank Transfer,debit,GBP,1860.5699999999997
2024-01-31,-38.94,Other,Bank Transfer,Other at Bank Transfer,debit,GBP,1821.6299999999997
2024-02-01,5721.64,Income,Company Ltd,Monthly Salary,credit,GBP,7543.27
2024-02-01,-53.12,Utilities,Virgin Media,Utilities at Virgin Media,debit,GBP,7490.150000000001
2024-02-02,-179.69,Shopping,Zara,Shopping at Zara,debit,GBP,7310.460000000001
2024-02-02,-25.58,Groceries,Lidl,Groceries at Lidl,debit,GBP,7284.880000000001
2024-02-02,-23.75,Transport,Shell,Transport at Shell,debit,GBP,7261.130000000001
2024-02-03,-61.38,Healthcare,Pharmacy,Healthcare at Pharmacy,debit,GBP,7199.750000000001
2024-02-04,-22.93,Entertainment,Cinema,Entertainment at Cinema,debit,GBP,7176.820000000001
2024-02-05,-42.16,Transport,First Bus,Transport at First Bus,debit,GBP,7134.660000000001
2024-02-06,-53.11,Transport,TfL,Transport at TfL,debit,GBP,7081.550000000001
2024-02-06,-42.51,Utilities,British Gas,Utilities at British Gas,debit,GBP,7039.040000000001
2024-02-07,-48.18,Groceries,Lidl,Groceries at Lidl,debit,GBP,6990.860000000001
2024-02-07,-9.37,Transport,First Bus,Transport at First Bus,debit,GBP,6981.490000000001
2024-02-08,-63.25,Utilities,Thames Water,Utilities at Thames Water,debit,GBP,6918.240000000001
2024-02-09,-22.34,Transport,National Rail,Transport at National Rail,debit,GBP,6895.900000000001
2024-02-10,-42.04,Entertainment,Amazon Prime,Entertainment at Amazon Prime,debit,GBP,6853.860000000001
2024-02-10,-15.64,Groceries,Morrisons,Groceries at Morrisons,debit,GBP,6838.22
2024-02-11,-63.12,Groceries,Aldi,Groceries at Aldi,debit,GBP,6775.1
2024-02-11,-21.6,Groceries,Sainsbury's,Groceries at Sainsbury's,debit,GBP,6753.5
2024-02-12,-152.06,Utilities,British Gas,Utilities at British Gas,debit,GBP,6601.44
2024-02-13,-50.39,Dining Out,Local Pub,Dining Out at Local Pub,debit,GBP,6551.049999999999
2024-02-13,-106.51,Utilities,Thames Water,Utilities at Thames Water,debit,GBP,6444.539999999999
2024-02-14,-7.27,Transport,First Bus,Transport at First Bus,debit,GBP,6437.269999999999
2024-02-15,-35.12,Dining Out,Nando's,Dining Out at Nando's,debit,GBP,6402.149999999999
2024-02-16,-45.65,Entertainment,Spotify,Entertainment at Spotify,debit,GBP,6356.499999999999
2024-02-17,-68.11,Entertainment,Spotify,Entertainment at Spotify,debit,GBP,6288.389999999999
2024-02-18,-73.44,Utilities,EDF Energy,Utilities at EDF Energy,debit,GBP,6214.95
